ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
725,Contract Expired,09/2013,2013,2013,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,A,A,A,N,N,A,N,A,A,A,A,A,A,Male,31-35,,,,,,1
726,Resignation-Other reasons,Not Stated,1984,Not Stated,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,SD,1,0,0,A,SA,A,SD,A,SD,SD,SD,SD,SD,SD,A,SD,N,N,SD,N,Female,46-50,,,,,,1
727,Contract Expired,Not Stated,2013,2013,Public Servant,A01-A04,Metropolitan,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,SA,N,N,N,A,A,A,A,A,A,A,N,N,Male,26-30,,,,,,1
728,Resignation-Other employer,01/2014,1975,1987,Head of Curriculum/Head of Special Education,,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SD,D,A,SA,A,A,N,N,A,A,A,A,A,A,N,N,Male,56-60,,,,,,1
729,Resignation-Other reasons,01/2014,1980,2003,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,A,N,N,N,A,A,A,A,N,N,N,N,N,A,A,N,A,Female,51-55,,,,,,1
730,Age Retirement,01/2014,1975,2013,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,A,0,1,1,A,D,N,A,A,A,N,N,A,A,A,A,A,A,A,N,N,Female,56-60,,,,,,1
731,Age Retirement,Not Stated,1978,2004,Deputy Principal,,North Coast,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,1,A,D,A,N,A,A,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,56-60,,,,,,1
732,Resignation-Other employer,12/2013,1999,1999,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,46-50,,,,,,1
733,Resignation-Other reasons,01/2014,1992,1997,Technical Officer,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,1,1,1,D,A,SD,D,A,A,A,N,SD,SD,N,A,A,A,A,A,A,Male,56-60,,,,,,1
734,Age Retirement,01/2014,1969,1985,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,D,A,A,SA,A,SA,SA,D,D,A,N,A,A,A,N,SA,Male,61 or older,,,,,,1
735,Age Retirement,Not Stated,1976,1976,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,,1
736,Voluntary Early Retirement (VER),10/2013,1989,1989,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,,0
737,Resignation-Move overseas/interstate,10/2013,2006,Not Stated,Cleaner,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,True,False,True,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,,0
738,Age Retirement,10/2013,1999,2002,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,D,N,A,N,A,A,A,A,A,A,N,A,A,A,N,N,Female,56-60,,,,,,1
739,Resignation-Other reasons,10/2013,1999,2004,Teacher,Special Education,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,N,N,A,SA,A,A,A,A,A,A,A,A,A,A,A,A,Male,56-60,,,,,,1
740,Ill Health Retirement,10/2013,1997,2000,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,N,N,A,A,A,D,D,Female,61 or older,,,,,,1
741,Age Retirement,Not Stated,1975,1999,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SA,0,1,1,A,N,SA,SA,SA,SA,A,A,SA,A,N,A,A,SA,SA,A,SA,Female,56-60,,,,,,1
742,Age Retirement,Not Stated,1985,1985,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,N,N,N,N,N,N,N,N,A,A,SD,SD,D,SD,SD,SD,SD,,61 or older,,,,,,1
743,Contract Expired,01/2014,1983,2001,Teacher,Primary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,0,1,D,A,A,N,SA,N,A,A,N,A,A,A,A,A,A,N,A,Female,61 or older,,,,,,1
744,Age Retirement,01/2014,1995,2003,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,51-55,,,,,,1
745,Age Retirement,09/2014,1986,2012,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,D,N,A,A,SA,SA,A,A,N,SA,SA,SA,SA,SD,D,Female,61 or older,,,,,,1
746,Resignation-Other employer,12/2013,1991,2004,Public Servant,A01-A04,Central Office,Information and Technologies,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,N,1,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,Female,41-45,,,,,,1
747,Age Retirement,Not Stated,Not Stated,Not Stated,Guidance Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SD,0,1,0,D,SD,SD,SD,,,SD,SD,SD,SD,SD,SD,D,SD,D,D,SD,Male,56-60,,,,,,1
748,Age Retirement,01/2014,2003,2003,Teacher,Middle,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,True,0,0,False,SA,1,0,0,A,A,A,SA,SA,A,A,A,D,D,,SA,SA,SA,SA,SA,SA,Female,56-60,,,,,,1
749,Resignation-Move overseas/interstate,01/2014,2008,2008,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,41-45,,,,,,0
750,Age Retirement,12/2013,1996,1996,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,SA,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
751,Voluntary Early Retirement (VER),Not Stated,Not Stated,Not Stated,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,A,1,1,0,A,D,SD,D,D,A,A,D,,A,,A,A,A,A,M,A,Female,51-55,,,,,,1
752,Age Retirement,01/2014,1983,1983,Teacher,Primary,North Coast,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,SA,N,N,A,D,A,A,A,A,SA,SA,SA,SA,Female,61 or older,,,,,,1
753,Resignation-Other reasons,12/2013,2005,2005,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,0,A,A,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,Male,61 or older,,,,,,1
754,Resignation-Other reasons,11/2013,1998,Not Stated,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,True,0,0,False,A,1,1,1,A,A,A,A,SA,SA,SA,SA,N,A,A,N,A,A,A,N,N,Female,46-50,,,,Yes,,1
755,Resignation-Other employer,11/2013,2004,2011,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,SA,SD,N,N,SA,SA,SA,SD,A,A,A,N,A,A,A,A,A,Female,31-35,,,,,,1
756,Age Retirement,Not Stated,1988,2013,Public Servant,A01-A04,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,D,A,A,SA,SA,SA,SA,SA,,,,A,A,A,A,A,A,,61 or older,,,,,,1
757,Resignation-Other employer,12/2013,2012,2013,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,1,1,A,A,A,A,A,A,N,N,N,A,N,A,A,A,A,A,A,Female,41-45,,,,,,1
758,Age Retirement,11/2013,1970,2000,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,A,A,A,A,SA,SA,SA,SA,SA,SA,A,SA,A,A,A,SA,Female,56-60,,,,,,1
759,Age Retirement,01/2014,1975,1991,Head of Curriculum/Head of Special Education,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,D,N,D,N,A,A,N,A,D,N,D,A,A,A,A,SD,N,Male,56-60,,,,,,1
760,Age Retirement,12/2013,1976,1999,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,D,N,SD,N,A,D,SD,,D,D,A,SD,N,D,N,Male,56-60,,,,,,1
761,Voluntary Early Retirement (VER),12/2013,1981,1998,Teacher,Secondary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,D,D,A,A,A,A,N,A,A,A,D,A,A,A,A,Female,51-55,,,,,,1
762,Contract Expired,Not Stated,2011,2012,Teacher,Special Education,Darling Downs South West,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N,SA,A,SA,SA,SA,SA,Female,51-55,,,,,,1
763,Other,12/2013,Not Stated,Not Stated,Teacher,Secondary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,D,A,D,A,D,D,A,A,A,A,SD,SD,SD,SD,SD,A,A,Female,51-55,,,,,,1
764,Resignation-Other employer,07/2006,2006,2006,Teacher,Primary,Metropolitan,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,1,1,1,A,A,A,A,A,A,A,A,D,N,N,N,N,A,A,N,A,Female,41-45,,,,,,1
765,Age Retirement,12/2013,1997,2005,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,56-60,,,,,,0
766,Age Retirement,Not Stated,1978,1995,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,N,N,A,A,A,A,N,N,A,A,A,A,N,A,A,Female,51-55,,,,,,1
767,Age Retirement,01/2014,1983,1983,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,A,N,N,SD,A,SD,SD,N,SD,SD,SD,A,SD,A,SD,SD,SA,Male,51-55,,,,,,0
768,Resignation-Other employer,01/2014,2007,2007,Teacher,Primary,Metropolitan,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,D,SA,A,N,A,SA,A,N,D,N,A,A,A,A,A,A,N,Male,26-30,,,,,,1
769,Age Retirement,12/2013,1992,1992,Teacher,Primary,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,N,A,D,D,N,A,A,A,D,N,N,SD,N,D,D,A,A,Female,61 or older,,,,,,1
770,Ill Health Retirement,02/2014,1976,1993,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SD,0,0,0,SD,SD,SD,SD,SD,SD,SD,SA,SD,SD,SD,SA,N,N,D,N,A,Male,56-60,,,,,,0
771,Resignation-Other reasons,11/2013,2008,Not Stated,Teacher Aide,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,N,0,1,1,A,SD,N,A,SA,N,N,SD,,N,N,SD,SD,SD,D,N,N,Female,46-50,,,,,,1
772,Resignation-Other reasons,Not Stated,1987,1987,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,A,A,A,SA,SA,SA,SA,SA,,SA,,SA,SA,SA,SA,,A,Female,61 or older,,,,,,0
773,Resignation-Other employer,01/2014,2002,2007,Head of Curriculum/Head of Special Education,,Central Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,36-40,,,,,,0
774,Age Retirement,04/2013,1969,2006,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,SD,SD,A,SA,A,A,A,,A,A,SA,SA,SA,SA,SD,A,Female,61 or older,,,,,,1
775,Age Retirement,Not Stated,2006,2006,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,N,N,N,N,N,N,D,D,D,N,N,N,N,D,D,Male,61 or older,,,,,,1
776,Resignation-Other employer,Not Stated,2005,2005,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,,0,0,0,,,,,,,,,,,,,,,,,,Female,41-45,,,,,,0
777,Age Retirement,12/2013,Not Stated,Not Stated,Cleaner,,South East,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,,0,0,0,,,,,,,,,,,,N,,,,,,Female,61 or older,,,,,,0
778,Contract Expired,Not Stated,2011,2012,Public Servant,A01-A04,Central Office,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,Male,31-35,,,,,,1
779,Age Retirement,Not Stated,1990,1990,Cleaner,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,,,A,A,A,A,A,,A,,56-60,,,,,,1
780,Age Retirement,10/2013,1992,1992,Cleaner,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,N,N,SA,,A,A,N,A,A,A,A,N,N,A,Female,61 or older,,,,,,1
781,Age Retirement,10/2013,1992,1992,Schools Officer,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,1,SA,SA,SA,SA,SA,SA,SA,SA,N,N,N,A,A,A,A,SA,SA,Male,61 or older,,,,,,1
782,Age Retirement,12/2013,2002,Not Stated,Cleaner,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,N,A,A,SA,A,A,A,A,N,A,N,A,A,N,N,A,A,Male,61 or older,,,,,,1
783,Age Retirement,10/2013,1989,Not Stated,Business Service Manager,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,61 or older,,,,,,1
784,Voluntary Early Retirement (VER),10/2013,1969,2008,Teacher,Special Education,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,A,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,Male,61 or older,,,,,,0
785,Contract Expired,09/2013,2013,Not Stated,Teacher Aide,,Not Stated,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,1,1,1,SA,SA,N,A,N,SA,SA,SA,,,,SA,,SA,SA,,,Female,61 or older,,,,,,1
786,Resignation-Other reasons,10/2013,2013,2013,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,SD,D,D,SA,D,D,D,D,A,A,D,D,D,N,D,A,Female,21-25,,,,,,1
787,Age Retirement,01/2014,1992,Not Stated,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,1,0,1,A,A,A,A,A,A,A,A,A,N,A,A,SA,A,A,A,A,Female,61 or older,,,,,,1
788,Resignation-Other employer,01/2014,1994,2008,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,True,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,N,1,1,1,A,N,N,D,A,N,SD,D,N,N,A,N,D,A,N,D,A,Female,41-45,,,,,,1
789,Age Retirement,01/2014,1977,Not Stated,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SA,N,N,A,A,A,A,N,N,A,A,A,N,SA,SA,D,A,Female,56-60,,,,,,1
790,Resignation-Other employer,Not Stated,1990,2010,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,1,D,N,N,A,A,A,A,A,D,D,D,D,D,N,D,SD,D,Female,41-45,,,,,,1
791,Resignation-Other reasons,01/2014,1983,1999,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,A,A,A,A,A,A,A,A,A,SA,N,A,A,A,N,A,Female,51-55,,,,,,1
792,Resignation-Other reasons,01/2014,2008,2008,Teacher,Secondary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,D,SA,D,D,SA,D,SA,SA,SD,D,A,D,SD,SD,SA,SD,A,Male,36-40,,,,,,0
793,Resignation-Other reasons,Not Stated,2007,2007,Public Servant,A01-A04,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,0,SA,SA,A,A,,SA,SA,A,A,A,D,A,A,A,A,D,A,Female,46-50,,,,,,1
794,Other,Not Stated,1996,2006,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,D,0,1,0,SD,SD,SD,D,D,SD,D,N,N,N,SD,N,SD,D,SD,SD,SD,Female,61 or older,,,,Yes,,1
795,Ill Health Retirement,12/2013,2003,2006,Teacher,Primary,Metropolitan,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,0,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,SA,SA,SA,A,SA,Male,61 or older,,,,,,1
796,Resignation-Move overseas/interstate,11/2013,Not Stated,Not Stated,Cleaner,,Not Stated,,Permanent Part-time,True,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,A,SA,SA,SA,SA,SA,A,SA,N,A,A,A,A,,A,Female,36-40,,,,,,0
797,Age Retirement,Not Stated,1977,2011,Teacher,Primary,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,0,A,N,N,SA,A,SA,SA,D,SA,SA,SA,A,SA,SA,SA,A,SA,Male,56-60,,,,,,1
798,Age Retirement,Not Stated,1970,1975,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,SA,SA,A,N,A,A,A,N,A,Male,56-60,,,,,,1
799,Resignation-Move overseas/interstate,Not Stated,2000,2013,Public Servant,A01-A04,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,A,1,1,1,N,SA,A,A,A,SA,N,SA,N,N,N,A,A,A,A,,A,Female,36-40,,,,,,1
800,Resignation-Move overseas/interstate,Not Stated,1995,Not Stated,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,SA,SA,SA,SA,SA,SA,SA,N,A,SA,SA,A,A,SA,A,N,N,Female,36-40,,,,,,1
801,Other,Not Stated,1981,2003,Teacher,Special Education,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,1,1,1,A,D,D,A,SA,SA,SA,A,D,SD,SA,A,SA,SA,A,D,A,Female,51-55,,,,,,1
802,Other,01/2014,2011,2011,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,0,1,A,N,N,A,SA,A,SA,A,A,A,A,A,A,A,A,N,A,Female,21-25,,,,,,1
803,Ill Health Retirement,01/2014,1972,1976,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,N,A,A,A,A,A,A,N,A,A,SA,SA,SA,SA,SA,SA,Male,56-60,,,,,,1
804,Resignation-Move overseas/interstate,12/2013,Not Stated,Not Stated,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,,,,,,,,0
805,Resignation-Other employer,01/2014,2004,2007,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,N,A,A,A,N,SA,A,A,A,A,N,A,A,A,A,Female,46-50,,,,,,1
806,Resignation-Other employer,01/2014,2008,2013,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,N,N,A,A,A,A,A,A,A,A,N,N,A,A,D,A,Female,26-30,,,,,,1
807,Age Retirement,Not Stated,1990,1990,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,A,A,A,A,A,A,A,A,A,N,A,A,A,A,N,N,N,Female,61 or older,,,,,,1
808,Resignation-Other employer,12/2013,2005,2005,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,1,0,1,SA,A,A,SA,SA,SA,SA,A,N,SA,A,SA,SA,SA,N,A,A,Female,41-45,,,,,,1
809,Resignation-Other reasons,12/2013,2004,2004,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,SD,D,SA,SD,A,A,A,D,N,N,A,A,A,A,D,A,Female,36-40,,,,,,1
810,Resignation-Other reasons,12/2013,2010,2010,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,26-30,,,,,,1
811,Age Retirement,01/2014,1979,2006,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,N,D,A,SA,A,A,A,D,A,A,A,A,A,A,A,A,Female,51-55,,,,,,1
